price,price per m,area,location
1200000,8040,149.25,Baranowo gm. Mosina wielkopolskie
599000,6082,98.48,Głuchowo wielkopolskie
599000,6082,98.48,Głuchowo wielkopolskie
5500000,8716,631,Tarnowo Podgórne wielkopolskie
802000,6007,133.5,Poznań wielkopolskie
2700000,5400,500,Poznań Wilda Dębiec
870000,5113,170.16,ul. Wawrzyńca Żuławskiego Gruszczyn wielkopolskie
699000,9078,77,Poznań wielkopolskie
99000,1414,70,Poznań wielkopolskie
480000,5475,87.67,Dachowa Nowe Miasto Krzesinki
1999000,6387,313,Poznań Nowe Miasto Zieliniec Strzałkowska
1299000,8546,152,Poznań Jeżyce Podolany Cieszkowskiego
799000,7467,107,Poznań wielkopolskie
2700000,8571,315,Tarnowo Podgórne wielkopolskie
995000,4012,248,Poznań Jeżyce Podolany ul. Augusta Cieszkowskiego 47
699000,7681,91,Poznań wielkopolskie
560000,4786,117,Poznań Jeżyce Smochowice Człuchowska
699000,9078,77,Poznań wielkopolskie
599000,5612,106.73,Wagowo poznański wielkopolskie
641720,6100,105.2,ul. Szkolna Rokietnica poznański wielkopolskie
559980,6100,91.8,ul. Szkolna Rokietnica wielkopolskie
1100000,4074,270,Poznań wielkopolskie
379900,5756,66,Kostrzyn wielkopolskie
1550000,4429,350,Poznań Nowe Miasto Warszawskie
999000,3160,316.1,Poznań Stare Miasto Radojewo
575000,6857,83.86,Skórzewo wielkopolskie
699000,9078,77,Poznań wielkopolskie
6900000,8137,848,Poznań Stare Miasto Stary Rynek ul. Stary Rynek 93
575000,6857,83.86,Skórzewo wielkopolskie
798000,8769,91,Poznań wielkopolskie
8900000,6456,1378.6,Poznań Stare Miasto
575000,6857,83.86,Skórzewo wielkopolskie
697000,9171,76,Poznań wielkopolskie
698000,9184,76,Poznań wielkopolskie
489000,6426,76.1,ul. Urocza Skórzewo wielkopolskie
699000,7681,91,Poznań wielkopolskie
697000,9293,75,Poznań wielkopolskie
699000,9197,76,Poznań wielkopolskie
798000,7458,107,Poznań wielkopolskie
1222000,6110,200,Poznań Nowe Miasto Warszawskie
850000,3232,263,Kiekrz wielkopolskie
508000,4885,104,Dachowa wielkopolskie
2450000,13046,187.8,Kosynierów Miłosławskich Puszczykowo poznański wielkopolskie
6500000,11818,550,Poznań Stare Miasto
530000,3841,138,z garażem i fotowoltaiką Kostrzyn wielkopolskie
479000,5184,92.4,ul. Spokojna Siekierki Wielkie wielkopolskie
1500000,12712,118,Lusowo wielkopolskie
54800083,5431,100.91,ul. Leśna 22 Kiekrz wielkopolskie
6400000,11636,550,Poznań Stare Miasto Stary Rynek
975000,6373,153,Poznań Stare Miasto Radojewo
1400000,7000,200,Poznań wielkopolskie
699000,7598,92,Poznań wielkopolskie
799000,8780,91,Poznań wielkopolskie
1470000,4286,343,Trzcielin wielkopolskie
499000,4597,108.54,ul. Malarska Szczytniki wielkopolskie
1389000,21703,64,Poznań Jeżyce Strzeszyn ul. Hanny Malewskiej
785000,6076,129.2,Poznań Nowe Miasto Szczepankowo ul. Chrzanowska
518000,6158,84.12,ul. Leśna Kiekrz wielkopolskie
54800083,5431,100.91,ul. Leśna 22 Kiekrz wielkopolskie
219000,4563,48,Poznań Grunwald
699000,9197,76,Poznań wielkopolskie
1499000,3189,470,Poznań Grunwald Ławica Sławińska
698000,7670,91,Poznań wielkopolskie
1031000,8413,122.55,Baranowo gm. Mosina wielkopolskie
797000,7449,107,Poznań wielkopolskie
109000,2057,53,Poznań wielkopolskie
575000,6857,83.86,Skórzewo wielkopolskie
1250000,5841,214,Mikołaja Kopernika Puszczykowo wielkopolskie
2270000,6486,350,Poznań Jeżyce Ogrody
1298000,5643,230,Czerwonak wielkopolskie
950000,3167,300,Rynek Stęszew poznański wielkopolskie
695000,9026,77,Poznań wielkopolskie
1500000,5263,285,Poznańska Skórzewo wielkopolskie
631200,6000,105.2,Rokietnica wielkopolskie
252000,919,274.35,ul. Łąkowa Pamiątkowo wielkopolskie
697000,7659,91,Poznań wielkopolskie
1450000,7360,197,Dąbrowa wielkopolskie
696000,9158,76,Poznań wielkopolskie
480000,5475,87.67,Dachowa wielkopolskie
749000,5350,140,Swarzędz Nowa Wieś
798000,7458,107,Poznań wielkopolskie
449000,5102,88,Robakowo wielkopolskie
750000,2717,276,Poznań Jeżyce
1630000,3622,450,Poznań Jeżyce
698000,7670,91,Poznań wielkopolskie
460000,5000,92,ul. Poznańska Siekierki Wielkie wielkopolskie
585000,6429,91,Lusowo wielkopolskie
697000,9052,77,Poznań wielkopolskie
567000,5400,105,Nowe Osiedle Rokietnica poznański wielkopolskie
699000,6990,100,Boczna Dąbrówka wielkopolskie
516200,2943,175.4,Potasze wielkopolskie
993000,7402,134.15,Poznań Grunwald Ławica
797000,7449,107,Poznań wielkopolskie
1580000,3607,438,Jonschera Kicin wielkopolskie
1950000,4524,431,Czapury wielkopolskie
450000,3750,120,Imielno wielkopolskie
798000,8769,91,Poznań wielkopolskie
2222000,4444,500,Lednogóra wielkopolskie
3200000,3048,1050,Poznań Stare Miasto Centrum
1150000,8156,141,Kiekrz wielkopolskie
697000,9171,76,Poznań wielkopolskie
430000,3583,120,Poznań wielkopolskie
519000,5641,92,Nowe Osiedle Rokietnica wielkopolskie
399000,5320,75,Bolechówko wielkopolskie
399000,5320,75,Bolechówko poznański wielkopolskie
399000,5320,75,ul. Kwiatowa Potasze wielkopolskie
399000,5320,75,Bolechówko wielkopolskie
509000,4539,112.14,Gowarzewo wielkopolskie
799000,8780,91,Poznań wielkopolskie
4700000,2686,1750,Stęszew wielkopolskie
388000,6258,62,Swarzędz wielkopolskie
379000,5122,74,Gowarzewo wielkopolskie
698000,9184,76,Poznań wielkopolskie
699000,7681,91,Poznań wielkopolskie
798000,7458,107,Poznań wielkopolskie
699000,7681,91,Poznań wielkopolskie
489000,5518,88.62,Lusowo poznański wielkopolskie
460000,4766,96.52,ul. Poznańska Murowana Goślina wielkopolskie
520000,5387,96.52,Poznańska  Murowana Goślina wielkopolskie
840000,4459,188.4,Kiekrz wielkopolskie
698000,7670,91,Poznań wielkopolskie
698000,9065,77,Poznań wielkopolskie
1800000,7258,248,Widokowa Borówiec wielkopolskie
749000,3942,190,Strykowo wielkopolskie
449000,5410,83,Łubowo wielkopolskie
1140000,3800,300,Poznań Grunwald Górczyn
510000,6800,75,Paczkowo wielkopolskie
699000,7681,91,Poznań wielkopolskie
495000,4267,116,Robakowo wielkopolskie
,4267,106.6,ul. Owocowa Łowęcin wielkopolskie
1049000,7713,136,ul. Derkaczowa 6 Przeźmierowo wielkopolskie
499000,4597,108.54,ul. Malarska Szczytniki poznański wielkopolskie
698000,7670,91,Poznań wielkopolskie
798000,7458,107,Poznań wielkopolskie
835000,7804,107,Poznań wielkopolskie
798000,8769,91,Poznań wielkopolskie
698000,7670,91,Poznań wielkopolskie
798000,7458,107,Poznań wielkopolskie
698000,9184,76,Poznań wielkopolskie
798000,7458,107,Poznań wielkopolskie
510000,5667,90,Rabowice wielkopolskie
698000,7670,91,Poznań wielkopolskie
1090000,5023,217,Poznań Jeżyce Smochowice
800000,5096,157,Barczyzna Września wrzesiński wielkopolskie
870000,3766,231,Puszczykowo wielkopolskie
990000,3722,266,Poznań Grunwald Junikowo Cyniowa
1750000,5538,316,Poznań Grunwald
1590000,6285,253,Poznań Grunwald
489000,4993,97.94,ul. Aleja Róż Siekierki Wielkie wielkopolskie
1660000,5092,326,Poznań Stare Miasto Naramowice
555000,3925,141.4,Rokietnica poznański wielkopolskie
519000,4185,124,Koninko wielkopolskie
419000,4404,95.13,ul. Aleja Róż Siekierki Wielkie wielkopolskie
2589000,14383,180,Poznań Stare Miasto Winogrady Winogrady
3900000,9750,400,Wierzenica poznański wielkopolskie
720000,3130,230,Swarzędz poznański wielkopolskie
1350000,7500,180,Poznań Wilda Dębiec
519000,4185,124,Waniliowa Kamionki wielkopolskie
519000,4185,124,ul. Skowronkowa Koninko wielkopolskie
4250000,8095,525,Puszczykowo wielkopolskie
1990000,7866,253,Poznań Grunwald Junikowo
4500000,20089,224,Poznań Grunwald
1700000,5667,300,Czerwonak wielkopolskie
1990000,6317,315,Poznań Jeżyce Smochowice
3100000,10993,282,Poznań Jeżyce Podolany
6500000,11818,550,Poznań Stare Miasto Centrum
1899000,3724,510,Poznań Grunwald Górczyn Górczyn
3200000,3048,1050,Poznań Jeżyce
414000,5520,75,Jeziorna Śródka wielkopolskie
460000,5111,90,Potasze wielkopolskie
560000,5333,105,Potasze wielkopolskie
460000,5111,90,Koziegłowy wielkopolskie
560000,5333,105,Przy Puszczy Bolechówko wielkopolskie
460000,5111,90,Bolechówko wielkopolskie
460000,5111,90,Bolechówko poznański wielkopolskie
560000,5333,105,Czerwonak wielkopolskie
460000,5111,90,ul. Lipowa Bolechówko wielkopolskie
560000,5333,105,Lipowa Bolechówko poznański wielkopolskie
559980,6100,91.8,Rokietnica wielkopolskie
990000,4950,200,Rosnówko wielkopolskie
1980000,7472,265,Bugaj poznański wielkopolskie
3200000,10811,296,Poznań Grunwald Górczyn
2950000,9833,300,Przeźmierowo wielkopolskie
1700000,6800,250,Gniezno wielkopolskie
6500000,11818,550,Poznań Stare Miasto Centrum rynek Stary Rynek
4900000,4016,1220,Poznań Stare Miasto Centrum rynek Stary Rynek
634900,5879,108,ul. Szkolna Robakowo wielkopolskie
389000,3890,100,Przecław wielkopolskie
