price,price per m,area,location
479000,4463,107.33,Tulce wielkopolskie
496000,4604,107.74,Tulce wielkopolskie
657850,5900,111.5,Czapury wielkopolskie
543000,6586,82.45,Luboń wielkopolskie
1610000,8050,200,Golęczewo wielkopolskie
467990,5300,88.3,Czapury wielkopolskie
449000,5400,83.15,la cisza i spokój  Imielno wielkopolskie
399000,4433,90,IDEALNE NA DZIAŁALNOŚĆ Brzeźno wielkopolskie
799000,7568,105.57,Dopiewiec wielkopolskie
447000,4623,96.7,Komorniki Tulce wielkopolskie
534440,6200,86.2,Czapury wielkopolskie
549000,5490,100,ul. Kolejowa Rokietnica wielkopolskie
2790000,715,3900,Głuchowo wielkopolskie
2699000,4017,671.91,Batorowo poznański wielkopolskie
509000,4426,115,Kostrzyn wielkopolskie
599000,4589,130.52,Chwałkówko gnieźnieński wielkopolskie
625000,7738,80.77,Koninko wielkopolskie
750000,7808,96.05,Kamionki wielkopolskie
3199990,11852,270,Poznań Jeżyce Ogrody ul. Dobra
640000,5560,115.1,ul. Tęczowa Konarzewo wielkopolskie
760000,4222,180,Puszczykowo wielkopolskie
961900,4762,202,ul. Tortunia Swarzędz wielkopolskie
962000,4762,202,Swarzędz Nowa Wieś
599990,6000,100,Widokowa Komorniki wielkopolskie
1290000,10238,126,Dachowa wielkopolskie
1150000,7823,147,Prosta Złotniki wielkopolskie
599999,5405,111,Zielątkowo wielkopolskie
1400000,4667,300,Rokietnica wielkopolskie
850000,6538,130,Poznań wielkopolskie
619000,8597,72,Daglezjowa Dąbrówka wielkopolskie
599000,5787,103.5,Luboń wielkopolskie
575000,6857,83.86,Skórzewo wielkopolskie
525000,4873,107.74,Gowarzewo poznański wielkopolskie
595000,5462,108.94,Szkolna Robakowo wielkopolskie
399000,7644,52.2,Kraterowa Suchy Las poznański wielkopolskie
499000,4559,109.46,Poznań Nowe Miasto Malarska Cicha
456000,3961,115.11,Dachowa wielkopolskie
924000,3216,287.35,Swarzędz wielkopolskie
1100000,12222,90,Suchy Las wielkopolskie
790000,6077,130,Bugaj wielkopolskie
699000,5256,133,os. Tytusa Działyńskiego Swarzędz wielkopolskie
735000,9304,79,ul. Poznańska Wiry wielkopolskie
637000,5326,119.6,Nowina Robakowo wielkopolskie
2500000,5230,478,Wierzyce wielkopolskie
599000,5651,106,Pobiedziska wielkopolskie
535000,5829,91.78,Gajowa Tulce wielkopolskie
920000,9064,101.5,Smardzowa Biedrusko wielkopolskie
1150000,5750,200,ul. Gnieźnieńska Janikowo wielkopolskie
3690000,4986,740,Poznań Stare Miasto Naramowice
389000,6593,59,Szczytniki wielkopolskie
523000,5251,99.6,Kleszczewo poznański wielkopolskie
1040000,5200,200,Krzyszkowo wielkopolskie
685000,4567,150,Poznań Wilda Dębiec Grabowa
449000,4405,101.92,Gwiazdowo wielkopolskie
1290000,9699,133,Poznań Stare Miasto Naramowice
650000,5285,123,Komorniki wielkopolskie
2300000,7667,300,Swarzędz wielkopolskie
649000,7185,90.33,Poznań Jeżyce Podolany
575000,6857,83.86,Księdza Stanisława Kozierowskiego Skórzewo wielkopolskie
595000,7095,83.86,Księdza Stanisława Kozierowskiego Skórzewo wielkopolskie
219000,1395,157,Imielno wielkopolskie
588500,6067,97,Na Skarpie Borówiec wielkopolskie
595000,5464,108.9,Paczkowo wielkopolskie
499000,5040,99,Polna Stęszew wielkopolskie
1150000,5227,220,Brzozowa Walerianowo wielkopolskie
389000,6593,59,Szczytniki wielkopolskie
699000,5256,133,os. Tytusa Działyńskiego Swarzędz wielkopolskie
2950000,6845,431,Kobylnica wielkopolskie
749000,9134,82,Poznań Stare Miasto Umultowo Umultowo
699900,6999,100,Zalasewo wielkopolskie
639000,5343,119.6,Dachowa poznański wielkopolskie
460000,5695,80.77,Koninko wielkopolskie
225000,3214,70,Poznań wielkopolskie
6450000,13665,472,Poznań Jeżyce Sołacz
679000,4956,137,ul. Kraterowa Suchy Las wielkopolskie
449000,5967,75.25,Rabowice wielkopolskie
449000,5967,75.25,Robakowo wielkopolskie
290000,4347,66.71,Poznań Grunwald Świerczewo Rejewskiego
516000,6224,82.9,Podlaska Luboń poznański wielkopolskie
730000,4664,156.52,ul. Józefa Łukaszewicza Stęszew wielkopolskie
509000,4761,106.9,Szczytniki poznański wielkopolskie
695000,8077,86.05,Głuchowo wielkopolskie
575000,6857,83.86,Skórzewo wielkopolskie
785000,5880,133.5,Poznań Nowe Miasto Szczepankowo
599000,5983,100.11,Komorniki wielkopolskie
550000,6322,87,Komorniki wielkopolskie
949000,5141,184.6,Poznań Nowe Miasto Szczepankowo Żurawicka
517000,6236,82.9,Podlaska Luboń wielkopolskie
110000,3235,34,Poznań Jeżyce Smochowice
1200000,8451,142,Suchy Las wielkopolskie
850000,7083,120,Poznań Nowe Miasto Starołęka
4200000,4179,1005,Suchy Las wielkopolskie
1899000,12660,150,Poznań Jeżyce Podolany
1590000,12231,130,Poznań Jeżyce Wola Wiślana
2650000,8204,323,Borówiec wielkopolskie
799000,8455,94.5,Lusowo wielkopolskie
549000,6033,91,Lusowo wielkopolskie
850000,9884,86,Poznań Jeżyce Psarskie
1070000,4908,218,Poznań Grunwald Górczyn
456000,3961,115.11,Dachowa wielkopolskie
349000,3173,110,Dopiewo wielkopolskie
975000,6373,153,Poznań Stare Miasto Umultowo
699000,5777,121,Robakowo wielkopolskie
